Year,Month,Day,Hour,Minute,Temperature,Total Precipitation (high resolution)  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2019,6,7,0,0,16.6,0,14.59,15.75
2019,6,7,1,0,16.12,0,12.77,21.5
2019,6,7,2,0,15.27,0,9.03,23.5
2019,6,7,3,0,14.89,0,3.83,41.19
2019,6,7,4,0,14.3,0,3.26,96.34
2019,6,7,5,0,14.3,0,4.9,143.97
2019,6,7,6,0,11.03,0.4,14.24,343.86
2019,6,7,7,0,10.84,0.7,13.66,341.57
2019,6,7,8,0,10.65,0.6,12.9,337.01
2019,6,7,9,0,10.4,0.1,12.1,329.62
2019,6,7,10,0,10.17,0.4,12.6,323.13
2019,6,7,11,0,9.78,0.2,14.53,311.99
2019,6,7,12,0,9.11,0.3,17.48,302.38
2019,6,7,13,0,8.22,0.3,21.58,295.71
2019,6,7,14,0,7.24,0.1,25.81,292.99
2019,6,7,15,0,6.57,0,28.36,293.96
2019,6,7,16,0,6.84,0,29.63,295.94
2019,6,7,17,0,6.56,0,28.99,298.16
2019,6,7,18,0,5.87,0,28.53,299.48
2019,6,7,19,0,6.43,0,33.4,300.43
2019,6,7,20,0,6.21,0,32.66,301.94
2019,6,7,21,0,6.01,0,30.56,304.44
2019,6,7,22,0,5.72,0,28.8,306.87
2019,6,7,23,0,5.21,0,27.89,309.24
2019,6,8,0,0,4.81,0,26.87,309.02
2019,6,8,1,0,4.84,0,25.78,305.91
2019,6,8,2,0,5.15,0,23.22,299.74
2019,6,8,3,0,5.46,0,21.18,287.82
2019,6,8,4,0,5.71,0,20.97,281.89
2019,6,8,5,0,5.93,0,20.55,281.11
2019,6,8,6,0,6.53,0,20.49,288.43
2019,6,8,7,0,7.56,0,21.47,304.76
2019,6,8,8,0,8.41,0,22.32,307.79
2019,6,8,9,0,9.5,0,23.23,310.6
2019,6,8,10,0,10.7,0,24.97,312.66
2019,6,8,11,0,11.68,0,25.5,311.57
2019,6,8,12,0,12.74,0,25.54,310.43
2019,6,8,13,0,13.74,0,25.81,309.91
2019,6,8,14,0,14.49,0,25.58,309.29
2019,6,8,15,0,14.04,0,25.2,306.87
2019,6,8,16,0,15.25,0,24.96,303.23
2019,6,8,17,0,15.38,0,24.34,299.22
2019,6,8,18,0,15.26,0,23.19,295.77
2019,6,8,19,0,14.14,0,17.46,278.3
2019,6,8,20,0,14,0,17.06,277.28
2019,6,8,21,0,13.1,0,13.14,279.46
2019,6,8,22,0,12.1,0,9.96,282.53
2019,6,8,23,0,12.28,0,12.56,297.3
2019,6,9,0,0,11.48,0,15.7,306.61
2019,6,9,1,0,9.83,0.2,15.28,313.09
2019,6,9,2,0,7.85,0,11.72,317.49
2019,6,9,3,0,6.6,0,7.99,305.84
2019,6,9,4,0,5.95,0,8.31,287.65
2019,6,9,5,0,4.92,0,9.53,280.89
2019,6,9,6,0,5.68,0,10.66,281.69
2019,6,9,7,0,8.25,0,15.55,275.31
2019,6,9,8,0,10.4,0,18.09,275.71
2019,6,9,9,0,12.08,0,20.77,278.97
2019,6,9,10,0,12.66,0,23.02,279.9
2019,6,9,11,0,14.72,0,24.99,281.63
2019,6,9,12,0,13.76,0,24.92,280.82
2019,6,9,13,0,13.81,0,25.15,279.06
2019,6,9,14,0,14.51,0.2,25.35,281.47
2019,6,9,15,0,14.67,0,24.98,285.04
2019,6,9,16,0,15.32,0,25.62,289.71
2019,6,9,17,0,15.29,0,25.34,292.56
2019,6,9,18,0,16.6,0,24.64,295.07
2019,6,9,19,0,16.15,0,23.18,313.11
2019,6,9,20,0,15.71,0,21.64,314.33
2019,6,9,21,0,14.33,0,15.04,317.91
2019,6,9,22,0,13.41,0,7.7,322.59
2019,6,9,23,0,12.42,0,2.74,293.2
2019,6,10,0,0,12.08,0,3.56,225
2019,6,10,1,0,10.92,0,5.9,217.57
2019,6,10,2,0,9.87,0,6.7,216.25
2019,6,10,3,0,8.99,0,7.49,215.22
2019,6,10,4,0,8.28,0,7.1,210.47
2019,6,10,5,0,7.7,0,7.09,203.96
2019,6,10,6,0,7.96,0,5.59,194.93
2019,6,10,7,0,10.71,0,5.99,212.74
2019,6,10,8,0,14.09,0,6.79,212.01
2019,6,10,9,0,16.05,0,6.92,207.9
2019,6,10,10,0,17.44,0,7.24,206.57
2019,6,10,11,0,18.6,0,6.99,214.51
2019,6,10,12,0,19.51,0,6.79,237.99
2019,6,10,13,0,20.29,0,8.09,249.15
2019,6,10,14,0,19.97,0,8.47,257.74
2019,6,10,15,0,20.16,0,10.08,270
2019,6,10,16,0,20.66,0,11.18,273.69
2019,6,10,17,0,20.9,0,12.85,281.31
2019,6,10,18,0,20.53,0,14.58,290.22
2019,6,10,19,0,19.82,0,10.8,323.13
2019,6,10,20,0,19.34,0.1,11.89,324.87
2019,6,10,21,0,17.64,0,10.97,336.8
2019,6,10,22,0,15.12,0,10.83,338.55
2019,6,10,23,0,12.85,0,10.95,332.59
2019,6,11,0,0,12,0,11.18,326.82
2019,6,11,1,0,10.97,0,11.75,319.97
2019,6,11,2,0,10.08,0,11.2,315
2019,6,11,3,0,9.04,0,10.8,306.87
2019,6,11,4,0,8.16,0,10.63,298.3
2019,6,11,5,0,7.43,0,10.64,293.96
2019,6,11,6,0,8.41,0,10.97,293.2
2019,6,11,7,0,11.93,0,14.62,322
2019,6,11,8,0,14,0,14.69,323.97
2019,6,11,9,0,15.43,0,15.41,322.59
2019,6,11,10,0,16.93,0,14.84,320.91
2019,6,11,11,0,18.23,0,15.31,318.81
2019,6,11,12,0,19.17,0,16.55,314.12
2019,6,11,13,0,19.98,0,18.34,313.41
2019,6,11,14,0,20.53,0,20.11,314.27
2019,6,11,15,0,20.83,0,20.88,316.4
2019,6,11,16,0,20.9,0,20.63,317.12
2019,6,11,17,0,20.88,0,20.37,316.43
2019,6,11,18,0,20.04,0,19.35,316.51
